[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,4.0
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,07/21/2022
ScenarioTime,10:45 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
Mandatory Distance,1,200,,,,,,,
Mandatory Distance2,1,1320,,,,,,,
Positioning Distance,1,880,,,,,,,
Positioning Distance2,1,1760,,,,,,,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,false,,,,,,,
Street Name Is Hidden,1,false,,,,,,,
Up ID,6,,,73,,,,,
Lanes,6,,,1,,,,,
Name,6,,,California Street,,,,,
Distance,6,,,2134,,,,,
Speed,6,,,30,,,,,
Time,6,,,48.5,,,,,
Grade,6,,,0,,,,,
Median,6,,,12,,,,,
Offset,6,,,0,,,,,
TWLTL,6,,,0,,,,,
Crosswalk Width,6,,,16,,,,,
Mandatory Distance,6,,,200,,,,,
Mandatory Distance2,6,,,1320,,,,,
Positioning Distance,6,,,880,,,,,
Positioning Distance2,6,,,1760,,,,,
Curve Pt X,6,,,,,,,,
Curve Pt Y,6,,,,,,,,
Curve Pt Z,6,,,,,,,,
Link Is Hidden,6,,,false,,,,,
Street Name Is Hidden,6,,,false,,,,,
Up ID,27,28,1612,1220,378,,,,
Lanes,27,2,2,3,2,,,,
Name,27,Happy Hollow Boulevard,Happy Hollow Boulevard,Dodge Street,Dodge Street,,,,
Distance,27,194,544,378,1486,,,,
Speed,27,30,30,35,35,,,,
Time,27,4.4,12.4,7.4,28.9,,,,
Grade,27,0,0,0,0,,,,
Median,27,*0,12,0,0,,,,
Offset,27,0,0,0,0,,,,
TWLTL,27,0,0,0,0,,,,
Crosswalk Width,27,16,16,16,16,,,,
Mandatory Distance,27,375,375,375,375,,,,
Mandatory Distance2,27,1320,1320,1539,1539,,,,
Positioning Distance,27,880,880,1026,1026,,,,
Positioning Distance2,27,1760,1760,2052,2052,,,,
Curve Pt X,27,,,,,,,,
Curve Pt Y,27,,,,,,,,
Curve Pt Z,27,,,,,,,,
Link Is Hidden,27,false,false,false,false,,,,
Street Name Is Hidden,27,true,false,true,false,,,,
Up ID,28,1670,27,1220,1832,,,,
Lanes,28,2,2,2,0,,,,
Name,28,Happy Hollow Boulevard,Happy Hollow Boulevard,Farnam Street,Farnam Street,,,,
Distance,28,600,194,243,1430,,,,
Speed,28,30,30,30,30,,,,
Time,28,13.6,4.4,5.5,32.5,,,,
Grade,28,0,0,0,0,,,,
Median,28,12,*0,0,*0,,,,
Offset,28,0,0,0,0,,,,
TWLTL,28,0,0,0,0,,,,
Crosswalk Width,28,16,16,16,16,,,,
Mandatory Distance,28,375,375,375,375,,,,
Mandatory Distance2,28,1320,1320,1320,1320,,,,
Positioning Distance,28,880,880,880,880,,,,
Positioning Distance2,28,1760,1760,1760,1760,,,,
Curve Pt X,28,2738973,,2739078,2739568,,,,
Curve Pt Y,28,544714,,544877,544638,,,,
Curve Pt Z,28,0,,0,0,,,,
Link Is Hidden,28,false,false,false,false,,,,
Street Name Is Hidden,28,false,true,true,false,,,,
Up ID,30,1626,1607,394,388,,,,
Lanes,30,2,2,2,2,,,,
Name,30,Happy Hollow Boulevard,Happy Hollow Boulevard,Underwood Ave,Underwood Ave,,,,
Distance,30,503,669,514,356,,,,
Speed,30,30,30,30,30,,,,
Time,30,11.4,15.2,11.7,8.1,,,,
Grade,30,0,0,0,0,,,,
Median,30,12,12,12,12,,,,
Offset,30,0,0,0,0,,,,
TWLTL,30,0,0,0,0,,,,
Crosswalk Width,30,16,16,16,16,,,,
Mandatory Distance,30,250,250,250,250,,,,
Mandatory Distance2,30,1320,1320,1320,1320,,,,
Positioning Distance,30,880,880,880,880,,,,
Positioning Distance2,30,1760,1760,1760,1760,,,,
Curve Pt X,30,2740332,,,,,,,
Curve Pt Y,30,546823,,,,,,,
Curve Pt Z,30,0,,,,,,,
Link Is Hidden,30,false,false,false,false,,,,
Street Name Is Hidden,30,false,false,false,false,,,,
Up ID,53,73,56,1639,338,,,,
Lanes,53,5,6,2,4,,,,
Name,53,Saddle Creek Road,NWRadial/Military/BHR,Cuming Street,Cuming Street,,,,
Distance,53,1246,1609,998,1063,,,,
Speed,53,35,35,25,35,,,,
Time,53,24.3,31.3,27.2,20.7,,,,
Grade,53,0,0,0,0,,,,
Median,53,*80,*80,*0,*32,,,,
Offset,53,0,0,10,0,,,,
TWLTL,53,0,0,0,0,,,,
Crosswalk Width,53,16,16,16,16,,,,
Mandatory Distance,53,375,375,375,375,,,,
Mandatory Distance2,53,1539,1539,1101,1539,,,,
Positioning Distance,53,1026,1026,734,1026,,,,
Positioning Distance2,53,2052,2052,1468,2052,,,,
Curve Pt X,53,2744372,2743970,,,,,,
Curve Pt Y,53,547954,548932,,,,,,
Curve Pt Z,53,0,0,,,,,,
Link Is Hidden,53,false,false,false,false,,,,
Street Name Is Hidden,53,false,false,false,false,,,,
Up ID,56,53,,,,,,,
Lanes,56,3,,,,,,,
Name,56,NWRadial/Military/BHR,,,,,,,
Distance,56,1609,,,,,,,
Speed,56,35,,,,,,,
Time,56,31.3,,,,,,,
Grade,56,0,,,,,,,
Median,56,0,,,,,,,
Offset,56,0,,,,,,,
TWLTL,56,0,,,,,,,
Crosswalk Width,56,16,,,,,,,
Mandatory Distance,56,200,,,,,,,
Mandatory Distance2,56,1539,,,,,,,
Positioning Distance,56,1026,,,,,,,
Positioning Distance2,56,2052,,,,,,,
Curve Pt X,56,2743808,,,,,,,
Curve Pt Y,56,549344,,,,,,,
Curve Pt Z,56,0,,,,,,,
Link Is Hidden,56,false,,,,,,,
Street Name Is Hidden,56,false,,,,,,,
Up ID,62,,,80,,,,,
Lanes,62,,,3,,,,,
Name,62,,,Douglas Street,,,,,
Distance,62,,,504,,,,,
Speed,62,,,35,,,,,
Time,62,,,9.8,,,,,
Grade,62,,,0,,,,,
Median,62,,,0,,,,,
Offset,62,,,0,,,,,
TWLTL,62,,,0,,,,,
Crosswalk Width,62,,,16,,,,,
Mandatory Distance,62,,,200,,,,,
Mandatory Distance2,62,,,1539,,,,,
Positioning Distance,62,,,1026,,,,,
Positioning Distance2,62,,,2052,,,,,
Curve Pt X,62,,,,,,,,
Curve Pt Y,62,,,,,,,,
Curve Pt Z,62,,,,,,,,
Link Is Hidden,62,,,false,,,,,
Street Name Is Hidden,62,,,false,,,,,
Up ID,63,,,81,,,,,
Lanes,63,,,0,,,,,
Name,63,,,Farnam Street,,,,,
Distance,63,,,514,,,,,
Speed,63,,,30,,,,,
Time,63,,,11.7,,,,,
Grade,63,,,0,,,,,
Median,63,,,0,,,,,
Offset,63,,,0,,,,,
TWLTL,63,,,0,,,,,
Crosswalk Width,63,,,16,,,,,
Mandatory Distance,63,,,200,,,,,
Mandatory Distance2,63,,,1320,,,,,
Positioning Distance,63,,,880,,,,,
Positioning Distance2,63,,,1760,,,,,
Curve Pt X,63,,,,,,,,
Curve Pt Y,63,,,,,,,,
Curve Pt Z,63,,,,,,,,
Link Is Hidden,63,,,false,,,,,
Street Name Is Hidden,63,,,false,,,,,
Up ID,64,,,82,,,,,
Lanes,64,,,2,,,,,
Name,64,,,Harney Street,,,,,
Distance,64,,,536,,,,,
Speed,64,,,30,,,,,
Time,64,,,12.2,,,,,
Grade,64,,,0,,,,,
Median,64,,,0,,,,,
Offset,64,,,0,,,,,
TWLTL,64,,,0,,,,,
Crosswalk Width,64,,,16,,,,,
Mandatory Distance,64,,,200,,,,,
Mandatory Distance2,64,,,1320,,,,,
Positioning Distance,64,,,880,,,,,
Positioning Distance2,64,,,1760,,,,,
Curve Pt X,64,,,,,,,,
Curve Pt Y,64,,,,,,,,
Curve Pt Z,64,,,,,,,,
Link Is Hidden,64,,,false,,,,,
Street Name Is Hidden,64,,,false,,,,,
Up ID,73,74,53,1466,6,,,,
Lanes,73,3,3,3,2,,,,
Name,73,Saddle Creek Road,Saddle Creek Road,California Street,California Street,,,,
Distance,73,1363,1246,625,2134,,,,
Speed,73,35,35,30,30,,,,
Time,73,26.6,24.3,14.2,48.5,,,,
Grade,73,0,0,0,0,,,,
Median,73,24,24,12,12,,,,
Offset,73,0,0,0,0,,,,
TWLTL,73,0,0,0,0,,,,
Crosswalk Width,73,16,16,16,16,,,,
Mandatory Distance,73,375,375,375,375,,,,
Mandatory Distance2,73,1539,1539,1320,1320,,,,
Positioning Distance,73,1026,1026,880,880,,,,
Positioning Distance2,73,2052,2052,1760,1760,,,,
Curve Pt X,73,,2744627,,,,,,
Curve Pt Y,73,,547904,,,,,,
Curve Pt Z,73,,0,,,,,,
Link Is Hidden,73,false,false,false,false,,,,
Street Name Is Hidden,73,false,false,false,false,,,,
Up ID,74,76,73,1503,1486,,,,
Lanes,74,3,3,1,1,,,,
Name,74,Saddle Creek Road,Saddle Creek Road,Davenport,Davenport,,,,
Distance,74,1167,1363,503,566,,,,
Speed,74,35,35,25,25,,,,
Time,74,22.7,26.6,13.7,15.4,,,,
Grade,74,0,0,0,0,,,,
Median,74,12,12,0,0,,,,
Offset,74,0,0,0,0,,,,
TWLTL,74,0,0,0,0,,,,
Crosswalk Width,74,16,16,16,16,,,,
Mandatory Distance,74,375,375,375,375,,,,
Mandatory Distance2,74,1539,1539,1101,1101,,,,
Positioning Distance,74,1026,1026,734,734,,,,
Positioning Distance2,74,2052,2052,1468,1468,,,,
Curve Pt X,74,,,,,,,,
Curve Pt Y,74,,,,,,,,
Curve Pt Z,74,,,,,,,,
Link Is Hidden,74,false,false,false,false,,,,
Street Name Is Hidden,74,false,false,false,false,,,,
Up ID,75,77,76,1571,1570,,,,
Lanes,75,4,3,1,2,,,,
Name,75,Saddle Creek Road,Saddle Creek Road,Emile Street,Emile Street,,,,
Distance,75,1402,1009,515,736,,,,
Speed,75,35,35,25,25,,,,
Time,75,27.3,19.7,14.0,20.1,,,,
Grade,75,0,0,0,0,,,,
Median,75,12,12,0,0,,,,
Offset,75,0,0,0,0,,,,
TWLTL,75,0,0,0,0,,,,
Crosswalk Width,75,16,16,16,16,,,,
Mandatory Distance,75,375,375,375,375,,,,
Mandatory Distance2,75,1539,1539,1101,1101,,,,
Positioning Distance,75,1026,1026,734,734,,,,
Positioning Distance2,75,2052,2052,1468,1468,,,,
Curve Pt X,75,2743959,2744585,,2744619,,,,
Curve Pt Y,75,543353,543945,,543283,,,,
Curve Pt Z,75,0,0,,0,,,,
Link Is Hidden,75,false,false,false,false,,,,
Street Name Is Hidden,75,false,false,false,false,,,,
Up ID,76,75,74,1566,340,,,,
Lanes,76,4,3,3,4,,,,
Name,76,Saddle Creek Road,Saddle Creek Road,Farnam Street,Farnam Street,,,,
Distance,76,1009,1167,421,479,,,,
Speed,76,35,35,30,30,,,,
Time,76,19.7,22.7,9.6,10.9,,,,
Grade,76,0,0,0,0,,,,
Median,76,12,12,12,12,,,,
Offset,76,0,0,0,0,,,,
TWLTL,76,0,0,0,0,,,,
Crosswalk Width,76,16,16,16,16,,,,
Mandatory Distance,76,375,375,375,375,,,,
Mandatory Distance2,76,1539,1539,1320,1320,,,,
Positioning Distance,76,1026,1026,880,880,,,,
Positioning Distance2,76,2052,2052,1760,1760,,,,
Curve Pt X,76,2744926,,,,,,,
Curve Pt Y,76,544148,,,,,,,
Curve Pt Z,76,0,,,,,,,
Link Is Hidden,76,false,false,false,false,,,,
Street Name Is Hidden,76,false,false,false,false,,,,
Up ID,77,353,75,366,1155,,,,
Lanes,77,4,4,4,3,,,,
Name,77,Saddle Creek Road,Saddle Creek Road,Leavenworth,Leavenworth,,,,
Distance,77,233,1402,1433,1199,,,,
Speed,77,35,35,35,35,,,,
Time,77,4.5,27.3,27.9,23.4,,,,
Grade,77,0,0,0,0,,,,
Median,77,12,12,12,12,,,,
Offset,77,0,0,0,0,,,,
TWLTL,77,0,0,0,0,,,,
Crosswalk Width,77,16,16,16,16,,,,
Mandatory Distance,77,375,375,375,375,,,,
Mandatory Distance2,77,1539,1539,1539,1539,,,,
Positioning Distance,77,1026,1026,1026,1026,,,,
Positioning Distance2,77,2052,2052,2052,2052,,,,
Curve Pt X,77,,2743933,,,,,,
Curve Pt Y,77,,543161,,,,,,
Curve Pt Z,77,,0,,,,,,
Link Is Hidden,77,false,false,false,false,,,,
Street Name Is Hidden,77,false,false,false,false,,,,
Up ID,79,80,1008,1839,2147,,,,
Lanes,79,0,3,0,4,,,,
Name,79,Turner Boulevard,Turner Boulevard,Dodge Street,Dodge Street,,,,
Distance,79,338,560,229,526,,,,
Speed,79,25,25,35,35,,,,
Time,79,9.2,15.3,4.5,10.2,,,,
Grade,79,0,0,0,0,,,,
Median,79,0,0,12,12,,,,
Offset,79,0,0,0,0,,,,
TWLTL,79,0,0,0,0,,,,
Crosswalk Width,79,16,16,16,16,,,,
Mandatory Distance,79,250,250,250,250,,,,
Mandatory Distance2,79,1101,1101,1539,1539,,,,
Positioning Distance,79,734,734,1026,1026,,,,
Positioning Distance2,79,1468,1468,2052,2052,,,,
Curve Pt X,79,,2751132,,,,,,
Curve Pt Y,79,,545892,,,,,,
Curve Pt Z,79,,0,,,,,,
Link Is Hidden,79,false,false,false,false,,,,
Street Name Is Hidden,79,true,false,true,false,,,,
Up ID,80,81,79,1839,62,,,,
Lanes,80,0,3,3,0,,,,
Name,80,Turner Boulevard,Turner Boulevard,Dodge Street,Douglas Street,,,,
Distance,80,429,338,469,504,,,,
Speed,80,25,25,30,35,,,,
Time,80,11.7,9.2,10.7,9.8,,,,
Grade,80,0,0,0,0,,,,
Median,80,12,12,0,0,,,,
Offset,80,0,0,0,0,,,,
TWLTL,80,0,0,0,0,,,,
Crosswalk Width,80,16,16,16,16,,,,
Mandatory Distance,80,250,250,250,250,,,,
Mandatory Distance2,80,1101,1101,1320,1539,,,,
Positioning Distance,80,734,734,880,1026,,,,
Positioning Distance2,80,1468,1468,1760,2052,,,,
Curve Pt X,80,2751219,,2751043,,,,,
Curve Pt Y,80,544990,,545254,,,,,
Curve Pt Z,80,0,,0,,,,,
Link Is Hidden,80,false,false,false,false,,,,
Street Name Is Hidden,80,false,true,true,false,,,,
Up ID,81,82,80,1103,63,,,,
Lanes,81,0,3,1,2,,,,
Name,81,Turner Boulevard,Turner Boulevard,Farnam Street,Farnam Street,,,,
Distance,81,368,429,569,514,,,,
Speed,81,25,25,30,30,,,,
Time,81,10.0,11.7,12.9,11.7,,,,
Grade,81,0,0,0,0,,,,
Median,81,0,0,0,0,,,,
Offset,81,0,0,0,0,,,,
TWLTL,81,0,0,0,0,,,,
Crosswalk Width,81,16,16,16,16,,,,
Mandatory Distance,81,250,250,250,250,,,,
Mandatory Distance2,81,1101,1101,1320,1320,,,,
Positioning Distance,81,734,734,880,880,,,,
Positioning Distance2,81,1468,1468,1760,1760,,,,
Curve Pt X,81,,2751167,,,,,,
Curve Pt Y,81,,544948,,,,,,
Curve Pt Z,81,,0,,,,,,
Link Is Hidden,81,false,false,false,false,,,,
Street Name Is Hidden,81,false,false,false,false,,,,
Up ID,82,271,81,283,64,1477,,,
Lanes,82,0,3,2,0,1,,,
Name,82,31st Street,Turner Boulevard,Harney Street,Harney Street,Turner Boulevard,,,
Distance,82,1380,368,985,536,526,,,
Speed,82,25,25,30,30,25,,,
Time,82,37.6,10.0,22.4,12.2,14.3,,,
Grade,82,0,0,0,0,0,,,
Median,82,0,0,0,0,0,,,
Offset,82,0,0,0,0,0,,,
TWLTL,82,0,0,0,0,0,,,
Crosswalk Width,82,16,16,16,16,16,,,
Mandatory Distance,82,250,250,250,250,250,,,
Mandatory Distance2,82,1101,1101,1320,1320,1101,,,
Positioning Distance,82,734,734,880,880,734,,,
Positioning Distance2,82,1468,1468,1760,1760,1468,,,
Curve Pt X,82,,,,,,,,
Curve Pt Y,82,,,,,,,,
Curve Pt Z,82,,,,,,,,
Link Is Hidden,82,false,false,false,false,false,,,
Street Name Is Hidden,82,false,false,false,false,false,,,
Up ID,108,,366,,,,,,
Lanes,108,,1,,,,,,
Name,108,,50th Street,,,,,,
Distance,108,,2583,,,,,,
Speed,108,,30,,,,,,
Time,108,,58.7,,,,,,
Grade,108,,0,,,,,,
Median,108,,0,,,,,,
Offset,108,,0,,,,,,
TWLTL,108,,0,,,,,,
Crosswalk Width,108,,16,,,,,,
Mandatory Distance,108,,200,,,,,,
Mandatory Distance2,108,,1320,,,,,,
Positioning Distance,108,,880,,,,,,
Positioning Distance2,108,,1760,,,,,,
Curve Pt X,108,,,,,,,,
Curve Pt Y,108,,,,,,,,
Curve Pt Z,108,,,,,,,,
Link Is Hidden,108,,false,,,,,,
Street Name Is Hidden,108,,false,,,,,,
Up ID,271,,82,,,,,,
Lanes,271,,2,,,,,,
Name,271,,31st Street,,,,,,
Distance,271,,1380,,,,,,
Speed,271,,25,,,,,,
Time,271,,37.6,,,,,,
Grade,271,,0,,,,,,
Median,271,,0,,,,,,
Offset,271,,0,,,,,,
TWLTL,271,,0,,,,,,
Crosswalk Width,271,,16,,,,,,
Mandatory Distance,271,,200,,,,,,
Mandatory Distance2,271,,1101,,,,,,
Positioning Distance,271,,734,,,,,,
Positioning Distance2,271,,1468,,,,,,
Curve Pt X,271,,,,,,,,
Curve Pt Y,271,,,,,,,,
Curve Pt Z,271,,,,,,,,
Link Is Hidden,271,,false,,,,,,
Street Name Is Hidden,271,,false,,,,,,
Up ID,278,279,,,,,,,
Lanes,278,1,,,,,,,
Name,278,33rd Street,,,,,,,
Distance,278,717,,,,,,,
Speed,278,30,,,,,,,
Time,278,16.3,,,,,,,
Grade,278,0,,,,,,,
Median,278,12,,,,,,,
Offset,278,0,,,,,,,
TWLTL,278,0,,,,,,,
Crosswalk Width,278,16,,,,,,,
Mandatory Distance,278,200,,,,,,,
Mandatory Distance2,278,1320,,,,,,,
Positioning Distance,278,880,,,,,,,
Positioning Distance2,278,1760,,,,,,,
Curve Pt X,278,,,,,,,,
Curve Pt Y,278,,,,,,,,
Curve Pt Z,278,,,,,,,,
Link Is Hidden,278,false,,,,,,,
Street Name Is Hidden,278,false,,,,,,,
Up ID,279,280,278,289,1839,,,,
Lanes,279,2,2,3,2,,,,
Name,279,33rd Street,33rd Street,Dodge Street,Dodge Street,,,,
Distance,279,746,717,1034,942,,,,
Speed,279,30,30,35,35,,,,
Time,279,17.0,16.3,20.1,18.4,,,,
Grade,279,0,0,0,0,,,,
Median,279,12,12,0,0,,,,
Offset,279,0,0,0,0,,,,
TWLTL,279,0,0,0,0,,,,
Crosswalk Width,279,16,16,16,16,,,,
Mandatory Distance,279,375,375,375,375,,,,
Mandatory Distance2,279,1320,1320,1539,1539,,,,
Positioning Distance,279,880,880,1026,1026,,,,
Positioning Distance2,279,1760,1760,2052,2052,,,,
Curve Pt X,279,,,,,,,,
Curve Pt Y,279,,,,,,,,
Curve Pt Z,279,,,,,,,,
Link Is Hidden,279,false,false,false,false,,,,
Street Name Is Hidden,279,false,false,false,false,,,,
Up ID,280,283,279,1102,1103,,,,
Lanes,280,2,2,1,2,,,,
Name,280,33rd Street,33rd Street,Farnam Street,Farnam Street,,,,
Distance,280,389,746,350,501,,,,
Speed,280,30,30,30,30,,,,
Time,280,8.8,17.0,8.0,11.4,,,,
Grade,280,0,0,0,0,,,,
Median,280,12,12,0,0,,,,
Offset,280,0,0,0,0,,,,
TWLTL,280,0,0,0,0,,,,
Crosswalk Width,280,16,16,16,16,,,,
Mandatory Distance,280,250,250,250,250,,,,
Mandatory Distance2,280,1320,1320,1320,1320,,,,
Positioning Distance,280,880,880,880,880,,,,
Positioning Distance2,280,1760,1760,1760,1760,,,,
Curve Pt X,280,2750108,,,,,,,
Curve Pt Y,280,544646,,,,,,,
Curve Pt Z,280,0,,,,,,,
Link Is Hidden,280,false,false,false,false,,,,
Street Name Is Hidden,280,false,false,false,false,,,,
Up ID,283,7132,280,291,82,,,,
Lanes,283,1,2,2,0,,,,
Name,283,33rd Street,33rd Street,Harney Street,Harney Street,,,,
Distance,283,600,389,1313,985,,,,
Speed,283,25,25,30,30,,,,
Time,283,16.4,10.6,29.8,22.4,,,,
Grade,283,0,0,0,0,,,,
Median,283,12,12,0,0,,,,
Offset,283,0,0,0,0,,,,
TWLTL,283,0,0,0,0,,,,
Crosswalk Width,283,16,16,16,16,,,,
Mandatory Distance,283,250,250,250,250,,,,
Mandatory Distance2,283,1101,1101,1320,1320,,,,
Positioning Distance,283,734,734,880,880,,,,
Positioning Distance2,283,1468,1468,1760,1760,,,,
Curve Pt X,283,,2750086,,,,,,
Curve Pt Y,283,,544527,,,,,,
Curve Pt Z,283,,0,,,,,,
Link Is Hidden,283,false,false,false,false,,,,
Street Name Is Hidden,283,false,false,false,false,,,,
Up ID,289,1458,1483,300,279,,,,
Lanes,289,3,1,3,2,,,,
Name,289,35th Avenue,35th Avenue,Dodge Street,Dodge Street,,,,
Distance,289,522,569,1011,1034,,,,
Speed,289,30,30,35,35,,,,
Time,289,11.9,12.9,19.7,20.1,,,,
Grade,289,0,0,0,0,,,,
Median,289,12,12,0,0,,,,
Offset,289,0,0,0,0,,,,
